phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
千古,3,0.004724409448818898,0.00033284482972751434,0.9555520336733286,0.008567478825713149,0.0006222159047773099,75,0.004897,513.5,466.5,427.0,402.0,520.0,465.8
相看,4,0.006299212598425197,9.438883231078765e-05,0.9424117414707842,0.008188628622909299,0.0007550445285522201,48,0.003134,460.5,537.5,450.0,411.0,472.0,466.2
野花,4,0.006299212598425197,0.00024839166397575696,0.9557738269037879,0.005612571270803331,0.0007119215774134288,62,0.004048,460.5,484.5,424.0,475.0,489.0,466.6
雨中,3,0.004724409448818898,0.00017387416478302988,0.9639799260820193,0.010081064148030809,0.0005725925737654551,54,0.003526,513.5,507.5,400.0,368.0,545.0,466.8
深处,2,0.0031496062992125984,0.0031496062992125984,0.8228788593651862,0.002425374551551547,0.0008559643771276102,71,0.004636,558.5,206.5,582.0,558.0,431.0,467.2
等闲,3,0.004724409448818898,0.00044710499515636257,0.9320251430382657,0.008476674337428904,0.0006267458283821979,64,0.004179,513.5,436.0,466.0,404.0,517.0,467.3
月照,4,0.006299212598425197,0.0002931021634913932,0.9351661295457776,0.005732318143253684,0.0007555439488295395,76,0.004962,460.5,473.0,462.0,472.0,471.0,467.7
秋水,3,0.004724409448818898,0.0006358826597779378,0.9347527176014238,0.006877869517200668,0.0006378614751472198,86,0.005615,513.5,407.0,464.0,446.0,513.0,468.7
帝乡,4,0.006299212598425197,0.0006656896594550287,0.8851671166242944,0.004709503333112497,0.0007795442046514976,48,0.003134,460.5,399.0,528.0,499.0,461.0,469.5
草堂,4,0.006299212598425197,0.00029806999677090836,0.9445191658266731,0.00543861314114873,0.0007086055399160173,84,0.005484,460.5,472.0,444.0,482.0,490.0,469.7
故山,2,0.0031496062992125984,0.0031496062992125984,0.8217741013706729,0.001722315595994915,0.0008810083099752486,79,0.005158,558.5,206.5,584.0,580.0,420.0,469.8
当时,3,0.004724409448818898,7.948533247224223e-05,0.9726687867588671,0.010730308166473308,0.0005601044721966265,196,0.012797,513.5,544.5,383.0,360.0,548.0,469.8
山阴,4,0.006299212598425197,0.00044958891179612017,0.9042454480426546,0.004549002781661133,0.0008218010245718234,23,0.001502,460.5,435.0,509.0,501.0,444.0,469.9
今夜,5,0.007874015748031496,0.000213616831019151,0.8836103002166045,0.0032078297589702358,0.000977499673097498,61,0.003983,409.0,492.5,530.0,535.0,383.0,469.9
鸟飞,4,0.006299212598425197,0.00027323083037333266,0.919117379656969,0.0056527289058066555,0.0007658549137789988,45,0.002938,460.5,475.5,486.0,474.0,467.0,472.6
枕上,4,0.006299212598425197,0.0004818798281129685,0.9299153727073648,0.0038019206005449066,0.0007242453322985457,64,0.004179,460.5,428.5,469.0,520.0,486.0,472.8
东林,5,0.007874015748031496,0.00024342383069624182,0.8541211513687628,0.0025616171139528645,0.0010483304308866286,39,0.002546,409.0,486.0,560.0,554.0,362.0,474.2
参差,3,0.004724409448818898,0.0,0.9669072904028557,0.011937650065946681,0.0006116931982642344,139,0.009075,513.5,601.0,394.0,342.0,526.0,475.3
波涛,4,0.006299212598425197,0.0005116868277900594,0.9114742112410067,0.0032275588352808464,0.0007495294003268777,63,0.004113,460.5,422.5,498.0,533.0,476.0,478.0
萧条,4,0.006299212598425197,0.00025832733053478724,0.9210390723035703,0.005366746690561972,0.0007341603807636679,69,0.004505,460.5,481.5,480.0,484.0,484.0,478.0
钓鱼,3,0.004724409448818898,8.942099903127251e-05,0.9557026724282223,0.009746863992866062,0.0005862100637506395,67,0.004375,513.5,540.5,426.0,383.0,536.0,479.8
夫子,4,0.006299212598425197,0.00023348816413721157,0.9305531714506498,0.0038457816575728724,0.0007660802615035107,33,0.002155,460.5,489.0,468.0,519.0,466.0,480.5
