phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
自怜,67,0.10044977511244378,0.0018954486720603662,1.6661109882607517,0.03220950555075006,0.0013863796933537753,183,0.001182,394.0,129.0,330.0,402.0,410.0,333.0
鸟飞,74,0.11094452773613193,0.0008869439154296726,1.6680763245403194,0.03792636900825392,0.0015179910292159565,127,0.000821,300.0,467.5,315.0,271.0,313.0,333.3
十年,67,0.10044977511244378,0.0016568292430361397,1.6739664570952686,0.03216105193502122,0.0013744031104970726,685,0.004426,394.0,183.0,266.0,404.0,424.0,334.2
遥知,67,0.10044977511244378,0.0017213615414514967,1.6760390039052437,0.029217329914689363,0.0013878350590585645,131,0.000846,394.0,165.0,251.0,466.0,409.0,337.0
月下,70,0.10494752623688156,0.0011435723579651617,1.6717594173077788,0.0356353325093594,0.001426828118563583,217,0.001402,350.0,353.5,282.0,327.0,377.0,337.9
头白,71,0.10644677661169415,0.0011908460184322253,1.6685975534127082,0.03404284674751466,0.0014577964912721073,123,0.000795,337.5,332.5,307.0,361.0,354.0,338.4
玉堂,72,0.10794602698650674,0.0009747378562970767,1.664025182613666,0.03782608056152984,0.0015145728162454248,124,0.000801,328.5,429.5,347.0,276.0,315.0,339.2
黄金,75,0.11244377811094453,0.0008509258884071477,1.6551075806031437,0.03822870429607978,0.0015741391836457989,593,0.003831,286.0,482.5,412.0,261.0,256.0,339.5
闻说,74,0.11094452773613193,0.0009004506755631193,1.6664386244096305,0.03459886794613898,0.001560395120858669,116,0.000749,300.0,458.5,327.0,347.0,267.0,339.9
名利,74,0.11094452773613193,0.0011368189778984382,1.6652559053051506,0.0308344655378105,0.0015577642788417517,154,0.000995,300.0,359.0,340.0,430.0,272.0,340.2
思量,72,0.10794602698650674,0.0009972491231861546,1.6704661381411985,0.03477127021516879,0.0015144682955095965,136,0.000879,328.5,420.0,291.0,345.0,317.0,340.3
日出,68,0.10194902548725637,0.0013529271400335868,1.6656662472076211,0.03553610486981458,0.001417434763439469,142,0.000917,378.5,273.0,335.0,330.0,387.0,340.7
年少,71,0.10644677661169415,0.0009634822228525377,1.6604187002906083,0.04101901945266612,0.0014648230274898492,255,0.001648,337.5,434.5,376.0,214.0,347.0,341.8
凤凰,68,0.10194902548725637,0.0014722368545457,1.6603010384660262,0.035092257384669756,0.0014176627335837667,385,0.002488,378.5,236.0,378.0,335.0,385.0,342.5
日落,69,0.10344827586206896,0.001575788682235459,1.6609885263395028,0.03242621559926436,0.001438431853796627,160,0.001034,365.0,212.5,371.0,397.0,368.0,342.7
山河,67,0.10044977511244378,0.0018031524778151465,1.6662075769343183,0.02935805428491582,0.0014164406639582414,203,0.001312,394.0,146.5,329.0,462.0,388.0,343.9
