社区ID,诗语,社区内度数,全局度数,全局综合排名,社区内重要性得分,社区内排名
1,秋日,39,65,395.6,41.5278058645096,44
1,行人,38,120,11.1,128.0900900900901,45
1,黄叶,38,84,163.6,44.11246943765281,46
1,猿啼,38,79,321.6,41.10945273631841,47
1,长沙,38,65,394.2,40.536783358701165,48
1,沧洲,37,66,365.4,39.73672687465791,49
1,相望,37,68,379.0,39.638522427440634,50
1,秋水,37,68,395.0,39.53164556962025,51
1,江城,36,99,47.8,56.920502092050214,52
1,白露,36,94,81.8,48.224938875305625,53
1,暮雨,36,86,113.1,44.841732979664016,54
1,凄凉,36,84,135.2,43.396449704142015,55
1,长江,36,79,211.8,40.72143531633617,56
1,远客,36,77,258.3,39.871467286101435,57
1,扬州,35,84,196.1,40.099439061703215,58
1,斜阳,35,84,198.5,40.03778337531486,59
1,夜月,35,77,214.5,39.66200466200466,60
1,思归,35,78,215.3,39.64468183929401,61
1,红叶,35,80,231.4,39.32152117545376,62
1,空山,35,76,323.0,38.09597523219814,63
1,相送,34,95,75.8,47.19261213720317,64
1,今夜,34,91,77.7,46.87001287001287,65
1,碧云,34,88,101.0,43.9009900990099,66
1,相忆,34,90,158.4,40.313131313131315,67
1,月色,34,85,189.1,39.288207297726075,68
1,迢递,34,79,195.9,39.10464522715671,69
1,望乡,34,80,254.3,37.93236335037358,70
1,别后,34,75,267.3,37.74111485222596,71
1,西风,34,77,279.9,37.572704537334765,72
1,旧游,34,70,374.1,36.673082063619354,73
1,苍茫,34,67,380.2,36.63019463440295,74
1,归路,34,62,464.2,36.154243860404996,75
1,落叶,34,62,464.4,36.15331610680448,76
1,人归,33,81,158.3,39.31711939355654,77
1,悠悠,33,80,182.6,38.47645125958379,78
1,叶落,33,84,193.4,38.17063081695967,79
1,黄鹤,33,84,260.0,36.84615384615385,80
1,苍苔,33,79,264.4,36.7821482602118,81
1,萧条,33,72,272.3,36.672420124862285,82
1,怜君,33,79,296.9,36.36813742000674,83
1,登楼,33,72,316.6,36.15855969677827,84
1,江山,33,68,369.1,35.709292874559736,85
1,北风,33,67,406.2,35.461841457410145,86
1,月满,32,87,110.5,41.049773755656105,87
1,往事,32,86,198.1,37.04795557799091,88
1,金陵,32,83,204.5,36.88997555012225,89
1,岐路,32,82,229.5,36.35729847494554,90
1,日夜,32,75,232.4,36.30292598967298,91
1,汉水,32,68,364.3,34.74499039253362,92
1,云深,32,65,404.8,34.4703557312253,93
1,武陵,31,84,134.0,38.46268656716418,94
1,寂寞,31,82,157.0,37.36942675159236,95
1,水流,31,81,195.9,36.10464522715671,96
1,还家,31,77,217.3,35.60193281178095,97
1,萧索,31,83,264.1,34.78644452858766,98
1,杜陵,31,77,267.6,34.73692077727952,99
1,风波,31,75,291.8,34.42700479780672,100
1,凉风,31,71,312.1,34.20410124959949,101
1,湖上,31,67,371.2,33.69396551724138,102
1,江流,31,69,374.3,33.671653753673525,103
1,连天,30,85,123.2,38.116883116883116,104
1,故山,30,77,235.9,34.23908435777872,105
1,秋天,30,79,239.1,34.18235048097031,106
1,秋来,30,77,243.3,34.1101520756268,107
1,黄花,30,80,249.0,34.01606425702811,108
1,谢公,30,70,301.4,33.3178500331785,109
1,青草,30,73,305.6,33.27225130890052,110
1,依然,30,73,330.2,33.02846759539673,111
1,鸟飞,30,74,333.3,33.000300030003004,112
1,河汉,30,74,368.3,32.71517784414879,113
1,人稀,30,65,471.0,32.12314225053078,114
1,菊花,30,60,518.3,31.9293845263361,115
1,独立,29,80,172.9,34.78368999421631,116
1,寥落,29,82,234.1,33.27167876975651,117
1,路岐,29,75,328.3,32.04599451720987,118
1,苍梧,29,71,409.6,31.44140625,119
1,日夕,29,64,415.2,31.408477842003855,120
1,今已,29,69,425.6,31.349624060150376,121
1,秋声,29,67,451.0,31.21729490022173,122
1,消息,28,91,84.5,39.83431952662722,123
1,相看,28,77,214.1,32.670714619336756,124
1,南国,28,72,278.3,31.593244699964067,125
1,东西,28,69,300.7,31.325573661456602,126
1,帝乡,28,71,324.4,31.0826140567201,127
1,寒山,28,72,363.3,30.75254610514726,128
1,清秋,28,64,495.8,30.01694231544978,129
1,萧萧,28,56,536.1,29.865323633650437,130
1,巫峡,27,86,170.1,32.878894767783656,131
1,生涯,27,74,256.6,30.897116134060795,132
1,茫茫,27,73,268.0,30.73134328358209,133
1,风烟,27,70,293.4,30.408316291751873,134
1,南北,27,74,314.4,30.18066157760814,135
1,飞鸟,27,70,375.3,29.66453503863576,136
1,山川,27,65,385.2,29.596053997923157,137
1,江海,27,60,460.3,29.172496198131654,138
1,孤云,27,60,494.9,29.020610224287736,139
1,远近,26,69,368.8,28.711496746203906,140
1,月夜,25,73,281.9,28.54735721887194,141
1,日落,25,69,342.7,27.91800408520572,142
1,重阳,25,51,582.3,26.717327837884252,143
1,风月,24,70,317.4,27.15059861373661,144
1,八月,24,73,329.3,27.036744609778317,145
1,新月,24,61,470.3,26.12630236019562,146
1,乔木,23,56,505.4,24.978630787495053,147
1,沧浪,23,51,534.1,24.872308556450104,148
1,风霜,23,57,551.0,24.814882032667878,149
1,道路,23,54,558.6,24.790189760114572,150
1,前程,23,54,571.3,24.75039383861369,151
1,秋月,22,65,379.3,24.63643553915107,152
1,思君,22,66,389.1,24.570033410434334,153
1,携手,22,62,479.2,24.086811352253758,154
1,皎然,22,44,642.1,23.55738981467061,155
1,寂寥,21,60,415.8,23.405002405002406,156
1,心期,21,47,604.4,22.654533421575117,157
1,明朝,20,64,357.3,22.79876854184159,158
1,海上,20,53,481.6,22.07641196013289,159
1,风雨,20,54,497.8,22.00883889112093,160
1,天外,20,52,561.1,21.782213509178398,161
1,鱼龙,20,54,579.0,21.727115716753023,162
1,月中,19,50,570.2,20.75377060680463,163
1,东南,19,43,638.2,20.566906925728613,164
1,山高,18,55,528.2,19.89322226429383,165
1,相对,17,52,452.5,19.209944751381215,166
1,使君,17,46,558.2,18.791472590469365,167
1,登高,17,44,622.1,18.607458607940845,168
1,新诗,16,41,639.4,17.563966218329686,169
2,富贵,53,71,370.0,55.7027027027027,1
2,男儿,50,73,357.4,52.79798545047566,2
2,须臾,48,90,106.7,57.37207122774133,3
2,少年,46,94,126.0,53.93650793650794,4
2,功名,45,74,368.4,47.71444082519001,5
